Sample.ID,Depth,Pressure,Temperature,Conductivity,Salinity,Sound.Velocity,Density,Nephel.meter,OBS,Turbidity
IM375_406_A5_231126,17.666,17.856,-0.831,27.487,33.849,1444.026,1027.3,0.529,18.775,0.529
IM376_407_A5_231126,22.868,23.114,-0.849,27.476,33.853,1444.028,1027.329,0.532,18.561,0.532
IM377_408_A5_231126,22.539,22.782,-0.844,27.481,33.854,1444.049,1027.328,0.513,18.58,0.513
IM378_409_A5_231126,21.636,21.87,-0.849,27.476,33.853,1444.011,1027.323,0.548,18.524,0.548
IM379_410_A5_231126,20.62,20.842,-0.844,27.478,33.851,1444.012,1027.316,0.47,18.478,0.47
IM380_411_A5_231126,21.668,21.901,-0.846,27.48,33.855,1444.027,1027.325,0.506,18.769,0.506
IM381_412_A5_231126,21.391,21.622,-0.847,27.477,33.853,1444.015,1027.322,0.535,18.383,0.535
IM382_413_A5_231126,22.67,22.914,-0.85,27.476,33.854,1444.022,1027.329,0.542,18.49,0.542
IM383_414_A5_231126,22.656,22.9,-0.849,27.478,33.856,1444.031,1027.33,0.555,18.358,0.555
IM384_415_A5_231126,22.281,22.521,-0.849,27.478,33.855,1444.024,1027.327,0.553,18.576,0.553
IM385_416_A5_231126,23.087,23.336,-0.851,27.477,33.856,1444.027,1027.333,0.544,18.355,0.544
IM386_417_A5_231126,22.526,22.769,-0.849,27.478,33.855,1444.026,1027.329,0.531,18.362,0.531
IM387_418_A5_231126,22.43,22.672,-0.853,27.475,33.855,1444.008,1027.329,0.537,18.327,0.537
IM388_419_A5_231126,23.053,23.302,-0.855,27.474,33.857,1444.01,1027.333,0.564,18.55,0.564
IM389_420_A5_231126,23.802,24.059,-0.851,27.478,33.858,1444.04,1027.337,0.537,18.504,0.537
IM390_421_A5_231126,24.315,24.577,-0.856,27.473,33.855,1444.024,1027.338,0.559,18.415,0.559
IM391_422_A5_231126,23.256,23.506,-0.853,27.473,33.853,1444.015,1027.331,0.534,18.543,0.534
IM392_423_A5_231126,24.895,25.164,-0.851,27.476,33.854,1444.054,1027.34,0.545,18.612,0.545
IM393_424_A5_231126,24.04,24.299,-0.854,27.477,33.858,1444.034,1027.339,0.573,18.541,0.573
IM394_425_A5_231126,17.601,17.79,-0.841,27.478,33.849,1443.976,1027.3,0.494,18.556,0.494
IM415_446_A6_231126,30.21,30.537,-0.857,27.48,33.862,1444.125,1027.372,0.462,18.976,0.462
IM416_447_A6_231126,29.456,29.774,-0.852,27.479,33.855,1444.129,1027.363,0.553,18.884,0.553
IM417_448_A6_231126,27.885,28.186,-0.849,27.48,33.854,1444.114,1027.354,0.136,19.123,0.136
IM418_449_A6_231126,27.46,27.756,-0.848,27.482,33.857,1444.113,1027.354,0.501,19.017,0.501
IM419_450_A6_231126,23.464,23.717,-0.846,27.479,33.854,1444.053,1027.332,0.492,18.961,0.492
IM420_451_A6_231126,30.885,31.218,-0.858,27.473,33.854,1444.12,1027.369,0.554,18.77,0.554
IM421_452_A6_231126,30.352,30.679,-0.855,27.476,33.854,1444.127,1027.366,0.562,18.907,0.562
IM422_453_A6_231126,30.27,30.597,-0.85,27.479,33.853,1444.145,1027.365,0.517,18.876,0.517
IM423_454_A6_231126,29.663,29.983,-0.849,27.476,33.848,1444.132,1027.358,0.517,18.886,0.517
IM424_455_A6_231126,27.481,27.778,-0.849,27.478,33.852,1444.103,1027.351,0.516,18.781,0.516
